,n_commits
2010-01-01,18
2010-02-01,39
2010-03-01,17
2010-04-01,29
2010-05-01,27
2010-06-01,33
2010-07-01,23
2010-08-01,44
2010-09-01,30
2010-10-01,22
2010-11-01,38
2010-12-01,17
2011-01-01,33
2011-02-01,24
2011-03-01,27
2011-04-01,19
2011-05-01,7
2011-06-01,6
2011-07-01,7
2011-08-01,54
2011-09-01,22
2011-10-01,17
2011-11-01,19
2011-12-01,50
2012-01-01,19
2012-02-01,21
2012-03-01,25
2012-04-01,14
2012-05-01,38
2012-06-01,39
2012-07-01,20
2012-08-01,17
2012-09-01,40
2012-10-01,14
2012-11-01,21
2012-12-01,3
2013-01-01,11
2013-02-01,10
2013-03-01,12
2013-04-01,39
2013-05-01,54
2013-06-01,79
2013-07-01,55
2013-08-01,22
2013-09-01,16
2013-10-01,17
2013-11-01,12
2013-12-01,14
2014-01-01,6
2014-02-01,12
2014-03-01,11
2014-04-01,21
2014-05-01,11
2014-06-01,16
2014-07-01,24
2014-08-01,104
2014-09-01,90
2014-10-01,61
2014-11-01,47
2014-12-01,81
2015-01-01,123
2015-02-01,24
2015-03-01,103
2015-04-01,70
2015-05-01,44
2015-06-01,66
2015-07-01,145
2015-08-01,114
2015-09-01,47
2015-10-01,28
2015-11-01,33
2015-12-01,30
2016-01-01,47
2016-02-01,48
2016-03-01,34
2016-04-01,48
2016-05-01,23
2016-06-01,12
2016-07-01,25
2016-08-01,30
2016-09-01,21
2016-10-01,5
2016-11-01,32
2016-12-01,39
2017-01-01,23
2017-02-01,25
2017-03-01,44
2017-04-01,33
2017-05-01,24
2017-06-01,41
2017-07-01,44
2017-08-01,69
2017-09-01,36
2017-10-01,65
2017-11-01,65
2017-12-01,73
2018-01-01,73
2018-02-01,69
2018-03-01,37
2018-04-01,93
2018-05-01,63
2018-06-01,64
2018-07-01,44
2018-08-01,105
2018-09-01,73
2018-10-01,88
2018-11-01,38
2018-12-01,67
2019-01-01,94
2019-02-01,67
2019-03-01,44
2019-04-01,88
2019-05-01,77
2019-06-01,79
2019-07-01,61
2019-08-01,64
2019-09-01,60
2019-10-01,89
2019-11-01,62
2019-12-01,91
2020-01-01,60
2020-02-01,68
2020-03-01,66
2020-04-01,96
2020-05-01,72
2020-06-01,60
2020-07-01,70
2020-08-01,57
2020-09-01,30
2020-10-01,81
2020-11-01,36
2020-12-01,44
2021-01-01,92
2021-02-01,53
2021-03-01,62
2021-04-01,41
2021-05-01,48
2021-06-01,34
2021-07-01,47
2021-08-01,58
2021-09-01,61
2021-10-01,58
2021-11-01,51
2021-12-01,58
2022-01-01,80
2022-02-01,52
2022-03-01,46
2022-04-01,41
2022-05-01,75
2022-06-01,54
2022-07-01,63
2022-08-01,72
2022-09-01,55
2022-10-01,69
2022-11-01,64
2022-12-01,111
2023-01-01,81
2023-02-01,98
2023-03-01,93
2023-04-01,46
2023-05-01,59
2023-06-01,56
2023-07-01,36
2023-08-01,54
2023-09-01,48
2023-10-01,104
2023-11-01,62
2023-12-01,57
2024-01-01,74
2024-02-01,63
2024-03-01,55
2024-04-01,35
2024-05-01,37
2024-06-01,80
2024-07-01,82
2024-08-01,52
2024-09-01,68
2024-10-01,100
2024-11-01,72
2024-12-01,43
2025-01-01,68
2025-02-01,58
2025-03-01,69
2025-04-01,34
2025-05-01,31
2025-06-01,58
2025-07-01,67
2025-08-01,42
