,n_commits
2003-04-01,12
2003-05-01,106
2003-06-01,130
2003-07-01,34
2003-08-01,70
2003-09-01,47
2003-10-01,106
2003-11-01,55
2003-12-01,112
2004-01-01,142
2004-02-01,141
2004-03-01,90
2004-04-01,172
2004-05-01,159
2004-06-01,74
2004-07-01,50
2004-08-01,79
2004-09-01,147
2004-10-01,113
2004-11-01,65
2004-12-01,122
2005-01-01,150
2005-02-01,219
2005-03-01,109
2005-04-01,70
2005-05-01,40
2005-06-01,48
2005-07-01,54
2005-08-01,86
2005-09-01,95
2005-10-01,50
2005-11-01,274
2005-12-01,133
2006-01-01,116
2006-02-01,68
2006-03-01,71
2006-04-01,71
2006-05-01,44
2006-06-01,82
2006-07-01,78
2006-08-01,83
2006-09-01,77
2006-10-01,128
2006-11-01,113
2006-12-01,93
2007-01-01,141
2007-02-01,78
2007-03-01,156
2007-04-01,170
2007-05-01,198
2007-06-01,115
2007-07-01,47
2007-08-01,144
2007-09-01,164
2007-10-01,95
2007-11-01,47
2007-12-01,152
2008-01-01,171
2008-02-01,397
2008-03-01,461
2008-04-01,153
2008-05-01,140
2008-06-01,145
2008-07-01,158
2008-08-01,214
2008-09-01,253
2008-10-01,401
2008-11-01,532
2008-12-01,254
2009-01-01,136
2009-02-01,176
2009-03-01,165
2009-04-01,291
2009-05-01,351
2009-06-01,109
2009-07-01,61
2009-08-01,114
2009-09-01,87
2009-10-01,132
2009-11-01,160
2009-12-01,242
2010-01-01,313
2010-02-01,595
2010-03-01,386
2010-04-01,413
2010-05-01,756
2010-06-01,241
2010-07-01,63
2010-08-01,72
2010-09-01,118
2010-10-01,436
2010-11-01,503
2010-12-01,538
2011-01-01,176
2011-02-01,49
2011-03-01,57
2011-04-01,185
2011-05-01,280
2011-06-01,288
2011-07-01,80
2011-08-01,133
2011-09-01,219
2011-10-01,249
2011-11-01,400
2011-12-01,135
2012-01-01,138
2012-02-01,255
2012-03-01,278
2012-04-01,312
2012-05-01,300
2012-06-01,192
2012-07-01,171
2012-08-01,315
2012-09-01,367
2012-10-01,269
2012-11-01,594
2012-12-01,238
2013-01-01,71
2013-02-01,179
2013-03-01,341
2013-04-01,257
2013-05-01,247
2013-06-01,104
2013-07-01,353
2013-08-01,204
2013-09-01,376
2013-10-01,321
2013-11-01,452
2013-12-01,378
2014-01-01,130
2014-02-01,250
2014-03-01,515
2014-04-01,281
2014-05-01,385
2014-06-01,268
2014-07-01,381
2014-08-01,283
2014-09-01,135
2014-10-01,561
2014-11-01,469
2014-12-01,250
2015-01-01,297
2015-02-01,244
2015-03-01,353
2015-04-01,270
2015-05-01,246
2015-06-01,336
2015-07-01,451
2015-08-01,259
2015-09-01,797
2015-10-01,756
2015-11-01,269
2015-12-01,336
2016-01-01,224
2016-02-01,330
2016-03-01,294
2016-04-01,157
2016-05-01,227
2016-06-01,212
2016-07-01,236
2016-08-01,251
2016-09-01,164
2016-10-01,362
2016-11-01,313
2016-12-01,159
2017-01-01,155
2017-02-01,68
2017-03-01,94
2017-04-01,98
2017-05-01,193
2017-06-01,99
2017-07-01,173
2017-08-01,110
2017-09-01,183
2017-10-01,397
2017-11-01,99
2017-12-01,70
2018-01-01,83
2018-02-01,131
2018-03-01,93
2018-04-01,87
2018-05-01,133
2018-06-01,53
2018-07-01,63
2018-08-01,49
2018-09-01,34
2018-10-01,14
2018-11-01,1
2018-12-01,242
2019-01-01,312
2019-02-01,49
2019-03-01,197
2019-04-01,197
2019-05-01,167
2019-06-01,68
2019-07-01,129
2019-08-01,187
2019-09-01,309
2019-10-01,189
2019-11-01,139
2019-12-01,113
2020-01-01,115
2020-02-01,228
2020-03-01,99
2020-04-01,88
2020-05-01,116
2020-06-01,284
2020-07-01,430
2020-08-01,140
2020-09-01,142
2020-10-01,285
2020-11-01,185
2020-12-01,112
2021-01-01,147
2021-02-01,225
2021-03-01,114
2021-04-01,95
2021-05-01,179
2021-06-01,237
2021-07-01,150
2021-08-01,162
2021-09-01,103
2021-10-01,79
2021-11-01,309
2021-12-01,130
2022-01-01,112
2022-02-01,109
2022-03-01,143
2022-04-01,273
2022-05-01,97
2022-06-01,137
2022-07-01,162
2022-08-01,152
2022-09-01,320
2022-10-01,210
2022-11-01,120
2022-12-01,82
2023-01-01,148
2023-02-01,241
2023-03-01,128
2023-04-01,74
2023-05-01,97
2023-06-01,245
2023-07-01,187
2023-08-01,141
2023-09-01,240
2023-10-01,168
2023-11-01,72
2023-12-01,69
2024-01-01,161
2024-02-01,239
2024-03-01,113
2024-04-01,84
2024-05-01,184
2024-06-01,220
2024-07-01,148
2024-08-01,117
2024-09-01,170
2024-10-01,157
2024-11-01,5
