,n_commits
2015-08-01,57
2015-09-01,204
2015-10-01,266
2015-11-01,380
2015-12-01,364
2016-01-01,112
2016-02-01,113
2016-03-01,289
2016-04-01,85
2016-05-01,69
2016-06-01,35
2016-07-01,75
2016-08-01,170
2016-09-01,89
2016-10-01,67
2016-11-01,90
2016-12-01,49
2017-01-01,123
2017-02-01,144
2017-03-01,172
2017-04-01,116
2017-05-01,120
2017-06-01,196
2017-07-01,110
2017-08-01,140
2017-09-01,132
2017-10-01,174
2017-11-01,69
2017-12-01,129
2018-01-01,23
2018-02-01,41
2018-03-01,178
2018-04-01,83
2018-05-01,65
2018-06-01,92
2018-07-01,37
2018-08-01,61
2018-09-01,36
2018-10-01,60
2018-11-01,75
2018-12-01,59
2019-01-01,95
2019-02-01,131
2019-03-01,95
2019-04-01,61
2019-05-01,61
2019-06-01,13
2019-07-01,30
2019-08-01,23
2019-09-01,9
2019-10-01,11
2019-11-01,16
2019-12-01,193
2020-01-01,40
2020-02-01,55
2020-03-01,25
2020-04-01,10
2020-05-01,34
2020-06-01,7
2020-07-01,6
2020-08-01,9
2020-09-01,11
2020-10-01,48
2020-11-01,81
2020-12-01,33
2021-01-01,12
2021-02-01,41
2021-03-01,18
2021-04-01,12
2021-05-01,4
2021-06-01,1
2021-07-01,10
2021-08-01,16
2021-09-01,23
2021-10-01,15
2021-11-01,7
2021-12-01,14
2022-01-01,27
2022-02-01,22
2022-03-01,12
2022-04-01,3
2022-05-01,5
2022-06-01,10
2022-07-01,3
2022-08-01,25
2022-09-01,12
2022-10-01,8
2022-11-01,8
2022-12-01,17
2023-01-01,29
2023-02-01,22
2023-03-01,8
2023-04-01,32
2023-05-01,12
2023-06-01,24
2023-07-01,30
2023-08-01,9
2023-09-01,3
2023-10-01,33
2023-11-01,107
2023-12-01,48
2024-01-01,35
2024-02-01,54
2024-03-01,45
2024-04-01,23
2024-05-01,28
2024-06-01,45
2024-07-01,6
2024-08-01,87
2024-09-01,14
2024-10-01,23
2024-11-01,80
2024-12-01,3
2025-01-01,58
2025-02-01,66
2025-03-01,29
2025-04-01,32
2025-05-01,32
2025-06-01,13
2025-07-01,13
