,n_commits
2020-09-01,106
2020-10-01,243
2020-11-01,249
2020-12-01,45
2021-01-01,165
2021-02-01,150
2021-03-01,206
2021-04-01,203
2021-05-01,61
2021-06-01,79
2021-07-01,76
2021-08-01,87
2021-09-01,106
2021-10-01,10
2021-11-01,0
2021-12-01,0
2022-01-01,1
2022-02-01,138
2022-03-01,111
2022-04-01,201
2022-05-01,229
2022-06-01,111
2022-07-01,82
2022-08-01,22
2022-09-01,136
2022-10-01,20
2022-11-01,0
2022-12-01,7
2023-01-01,12
2023-02-01,28
2023-03-01,73
2023-04-01,0
2023-05-01,1
2023-06-01,1
2023-07-01,1
2023-08-01,1
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,0
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,0
2025-05-01,0
2025-06-01,0
2025-07-01,1
