,n_commits
2006-05-01,2
2006-06-01,8
2006-07-01,13
2006-08-01,37
2006-09-01,41
2006-10-01,52
2006-11-01,22
2006-12-01,16
2007-01-01,60
2007-02-01,69
2007-03-01,43
2007-04-01,28
2007-05-01,26
2007-06-01,21
2007-07-01,37
2007-08-01,60
2007-09-01,36
2007-10-01,34
2007-11-01,67
2007-12-01,27
2008-01-01,42
2008-02-01,84
2008-03-01,90
2008-04-01,47
2008-05-01,14
2008-06-01,304
2008-07-01,34
2008-08-01,6
2008-09-01,3
2008-10-01,28
2008-11-01,13
2008-12-01,13
2009-01-01,46
2009-02-01,56
2009-03-01,108
2009-04-01,49
2009-05-01,34
2009-06-01,13
2009-07-01,32
2009-08-01,7
2009-09-01,15
2009-10-01,10
2009-11-01,12
2009-12-01,12
2010-01-01,15
2010-02-01,22
2010-03-01,61
2010-04-01,26
2010-05-01,20
2010-06-01,8
2010-07-01,24
2010-08-01,127
2010-09-01,82
2010-10-01,107
2010-11-01,28
2010-12-01,5
2011-01-01,35
2011-02-01,29
2011-03-01,45
2011-04-01,35
2011-05-01,11
2011-06-01,44
2011-07-01,24
2011-08-01,61
2011-09-01,42
2011-10-01,30
2011-11-01,39
2011-12-01,38
2012-01-01,30
2012-02-01,17
2012-03-01,13
2012-04-01,27
2012-05-01,45
2012-06-01,19
2012-07-01,6
2012-08-01,7
2012-09-01,19
2012-10-01,53
2012-11-01,13
2012-12-01,34
2013-01-01,20
2013-02-01,3
2013-03-01,42
2013-04-01,16
2013-05-01,47
2013-06-01,62
2013-07-01,20
2013-08-01,48
2013-09-01,39
2013-10-01,16
2013-11-01,28
2013-12-01,23
2014-01-01,51
2014-02-01,43
2014-03-01,41
2014-04-01,52
2014-05-01,62
2014-06-01,33
2014-07-01,82
2014-08-01,36
2014-09-01,51
2014-10-01,62
2014-11-01,65
2014-12-01,59
2015-01-01,20
2015-02-01,41
2015-03-01,32
2015-04-01,73
2015-05-01,52
2015-06-01,29
2015-07-01,59
2015-08-01,23
2015-09-01,41
2015-10-01,45
2015-11-01,75
2015-12-01,43
2016-01-01,82
2016-02-01,86
2016-03-01,75
2016-04-01,29
2016-05-01,13
2016-06-01,11
2016-07-01,15
2016-08-01,6
2016-09-01,33
2016-10-01,15
2016-11-01,13
2016-12-01,18
2017-01-01,29
2017-02-01,36
2017-03-01,19
2017-04-01,34
2017-05-01,17
2017-06-01,6
2017-07-01,16
2017-08-01,13
2017-09-01,54
2017-10-01,23
2017-11-01,22
2017-12-01,15
2018-01-01,37
2018-02-01,5
2018-03-01,52
2018-04-01,23
2018-05-01,13
2018-06-01,16
2018-07-01,6
2018-08-01,6
2018-09-01,18
2018-10-01,17
2018-11-01,19
2018-12-01,29
2019-01-01,129
2019-02-01,44
2019-03-01,27
2019-04-01,8
2019-05-01,24
2019-06-01,24
2019-07-01,26
2019-08-01,14
2019-09-01,13
2019-10-01,40
2019-11-01,40
2019-12-01,25
2020-01-01,18
2020-02-01,31
2020-03-01,22
2020-04-01,44
2020-05-01,34
2020-06-01,25
2020-07-01,11
2020-08-01,10
2020-09-01,28
2020-10-01,14
2020-11-01,17
2020-12-01,15
2021-01-01,12
2021-02-01,58
2021-03-01,40
2021-04-01,13
2021-05-01,16
2021-06-01,23
2021-07-01,11
2021-08-01,46
2021-09-01,17
2021-10-01,15
2021-11-01,9
2021-12-01,7
2022-01-01,27
2022-02-01,32
2022-03-01,28
2022-04-01,25
2022-05-01,26
2022-06-01,8
2022-07-01,6
2022-08-01,16
2022-09-01,57
2022-10-01,30
2022-11-01,14
2022-12-01,0
2023-01-01,4
2023-02-01,19
2023-03-01,8
2023-04-01,17
2023-05-01,6
2023-06-01,17
2023-07-01,13
2023-08-01,11
2023-09-01,6
2023-10-01,20
2023-11-01,7
2023-12-01,6
2024-01-01,8
2024-02-01,21
2024-03-01,22
2024-04-01,18
2024-05-01,13
2024-06-01,10
2024-07-01,14
2024-08-01,19
2024-09-01,15
2024-10-01,11
2024-11-01,22
2024-12-01,6
2025-01-01,8
2025-02-01,22
2025-03-01,15
2025-04-01,15
2025-05-01,33
2025-06-01,26
2025-07-01,2
2025-08-01,20
