,n_commits
2006-08-01,15
2006-09-01,196
2006-10-01,232
2006-11-01,20
2006-12-01,0
2007-01-01,15
2007-02-01,38
2007-03-01,10
2007-04-01,32
2007-05-01,9
2007-06-01,52
2007-07-01,64
2007-08-01,17
2007-09-01,6
2007-10-01,13
2007-11-01,10
2007-12-01,40
2008-01-01,168
2008-02-01,66
2008-03-01,32
2008-04-01,30
2008-05-01,118
2008-06-01,50
2008-07-01,18
2008-08-01,68
2008-09-01,86
2008-10-01,138
2008-11-01,22
2008-12-01,15
2009-01-01,4
2009-02-01,72
2009-03-01,9
2009-04-01,9
2009-05-01,3
2009-06-01,4
2009-07-01,20
2009-08-01,19
2009-09-01,15
2009-10-01,3
2009-11-01,5
2009-12-01,10
2010-01-01,34
2010-02-01,12
2010-03-01,119
2010-04-01,24
2010-05-01,5
2010-06-01,1
2010-07-01,26
2010-08-01,19
2010-09-01,19
2010-10-01,16
2010-11-01,67
2010-12-01,32
2011-01-01,65
2011-02-01,50
2011-03-01,56
2011-04-01,139
2011-05-01,17
2011-06-01,6
2011-07-01,34
2011-08-01,261
2011-09-01,161
2011-10-01,263
2011-11-01,121
2011-12-01,185
2012-01-01,247
2012-02-01,269
2012-03-01,541
2012-04-01,206
2012-05-01,211
2012-06-01,336
2012-07-01,194
2012-08-01,70
2012-09-01,55
2012-10-01,234
2012-11-01,174
2012-12-01,70
2013-01-01,102
2013-02-01,106
2013-03-01,73
2013-04-01,43
2013-05-01,21
2013-06-01,31
2013-07-01,141
2013-08-01,44
2013-09-01,66
2013-10-01,69
2013-11-01,22
2013-12-01,28
2014-01-01,193
2014-02-01,189
2014-03-01,61
2014-04-01,35
2014-05-01,62
2014-06-01,40
2014-07-01,27
2014-08-01,58
2014-09-01,22
2014-10-01,58
2014-11-01,88
2014-12-01,102
2015-01-01,140
2015-02-01,123
2015-03-01,130
2015-04-01,63
2015-05-01,55
2015-06-01,33
2015-07-01,126
2015-08-01,60
2015-09-01,80
2015-10-01,44
2015-11-01,59
2015-12-01,45
2016-01-01,75
2016-02-01,86
2016-03-01,103
2016-04-01,14
2016-05-01,36
2016-06-01,14
2016-07-01,55
2016-08-01,58
2016-09-01,28
2016-10-01,95
2016-11-01,21
2016-12-01,60
2017-01-01,96
2017-02-01,40
2017-03-01,16
2017-04-01,6
2017-05-01,16
2017-06-01,37
2017-07-01,39
2017-08-01,14
2017-09-01,21
2017-10-01,24
2017-11-01,37
2017-12-01,9
2018-01-01,31
2018-02-01,27
2018-03-01,26
2018-04-01,18
2018-05-01,6
2018-06-01,24
2018-07-01,4
2018-08-01,16
2018-09-01,9
2018-10-01,0
2018-11-01,2
2018-12-01,15
2019-01-01,19
2019-02-01,10
2019-03-01,17
2019-04-01,17
2019-05-01,13
2019-06-01,12
2019-07-01,3
2019-08-01,13
2019-09-01,42
2019-10-01,27
2019-11-01,8
2019-12-01,0
2020-01-01,48
2020-02-01,4
2020-03-01,13
2020-04-01,7
2020-05-01,1
2020-06-01,1
2020-07-01,8
2020-08-01,2
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,10
2021-02-01,9
2021-03-01,6
2021-04-01,4
2021-05-01,7
2021-06-01,0
2021-07-01,1
2021-08-01,0
2021-09-01,5
2021-10-01,5
2021-11-01,5
2021-12-01,9
2022-01-01,56
2022-02-01,22
2022-03-01,10
2022-04-01,0
2022-05-01,0
2022-06-01,3
2022-07-01,1
2022-08-01,1
2022-09-01,0
2022-10-01,0
2022-11-01,3
2022-12-01,5
2023-01-01,1
2023-02-01,0
2023-03-01,4
2023-04-01,1
2023-05-01,0
2023-06-01,0
2023-07-01,0
2023-08-01,0
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,1
