,n_commits
2016-11-01,50
2016-12-01,21
2017-01-01,7
2017-02-01,6
2017-03-01,27
2017-04-01,13
2017-05-01,10
2017-06-01,8
2017-07-01,6
2017-08-01,2
2017-09-01,9
2017-10-01,8
2017-11-01,14
2017-12-01,8
2018-01-01,11
2018-02-01,24
2018-03-01,35
2018-04-01,13
2018-05-01,12
2018-06-01,85
2018-07-01,88
2018-08-01,31
2018-09-01,52
2018-10-01,81
2018-11-01,42
2018-12-01,133
2019-01-01,46
2019-02-01,43
2019-03-01,77
2019-04-01,165
2019-05-01,149
2019-06-01,170
2019-07-01,161
2019-08-01,157
2019-09-01,123
2019-10-01,159
2019-11-01,181
2019-12-01,123
2020-01-01,153
2020-02-01,150
2020-03-01,140
2020-04-01,205
2020-05-01,141
2020-06-01,171
2020-07-01,139
2020-08-01,109
2020-09-01,111
2020-10-01,103
2020-11-01,108
2020-12-01,94
2021-01-01,97
2021-02-01,110
2021-03-01,122
2021-04-01,111
2021-05-01,91
2021-06-01,137
2021-07-01,115
2021-08-01,121
2021-09-01,121
2021-10-01,116
2021-11-01,127
2021-12-01,87
2022-01-01,100
2022-02-01,92
2022-03-01,109
2022-04-01,105
2022-05-01,95
2022-06-01,118
2022-07-01,89
2022-08-01,93
2022-09-01,97
2022-10-01,115
2022-11-01,104
2022-12-01,111
2023-01-01,114
2023-02-01,95
2023-03-01,95
2023-04-01,101
2023-05-01,102
2023-06-01,98
2023-07-01,100
2023-08-01,102
2023-09-01,114
2023-10-01,95
2023-11-01,113
2023-12-01,96
2024-01-01,108
2024-02-01,101
2024-03-01,105
2024-04-01,98
2024-05-01,139
2024-06-01,101
2024-07-01,107
2024-08-01,116
2024-09-01,106
2024-10-01,118
2024-11-01,96
2024-12-01,90
2025-01-01,97
2025-02-01,91
2025-03-01,99
2025-04-01,119
2025-05-01,125
2025-06-01,122
2025-07-01,125
2025-08-01,119
