,n_commits
2016-01-01,34
2016-02-01,10
2016-03-01,8
2016-04-01,82
2016-05-01,46
2016-06-01,10
2016-07-01,164
2016-08-01,176
2016-09-01,160
2016-10-01,118
2016-11-01,114
2016-12-01,14
2017-01-01,78
2017-02-01,86
2017-03-01,214
2017-04-01,170
2017-05-01,72
2017-06-01,136
2017-07-01,206
2017-08-01,127
2017-09-01,171
2017-10-01,156
2017-11-01,78
2017-12-01,67
2018-01-01,36
2018-02-01,78
2018-03-01,116
2018-04-01,91
2018-05-01,49
2018-06-01,66
2018-07-01,86
2018-08-01,131
2018-09-01,65
2018-10-01,64
2018-11-01,117
2018-12-01,142
2019-01-01,105
2019-02-01,49
2019-03-01,108
2019-04-01,101
2019-05-01,118
2019-06-01,56
2019-07-01,142
2019-08-01,168
2019-09-01,254
2019-10-01,214
2019-11-01,235
2019-12-01,128
2020-01-01,226
2020-02-01,219
2020-03-01,255
2020-04-01,194
2020-05-01,192
2020-06-01,240
2020-07-01,243
2020-08-01,148
2020-09-01,158
2020-10-01,111
2020-11-01,167
2020-12-01,141
2021-01-01,293
2021-02-01,133
2021-03-01,160
2021-04-01,140
2021-05-01,125
2021-06-01,117
2021-07-01,108
2021-08-01,137
2021-09-01,217
2021-10-01,152
2021-11-01,187
2021-12-01,56
2022-01-01,136
2022-02-01,122
2022-03-01,80
2022-04-01,68
2022-05-01,61
2022-06-01,108
2022-07-01,132
2022-08-01,198
2022-09-01,93
2022-10-01,133
2022-11-01,159
2022-12-01,126
2023-01-01,163
2023-02-01,190
2023-03-01,224
2023-04-01,224
2023-05-01,239
2023-06-01,114
2023-07-01,59
2023-08-01,109
2023-09-01,100
2023-10-01,195
2023-11-01,129
2023-12-01,47
2024-01-01,77
2024-02-01,121
2024-03-01,158
2024-04-01,165
2024-05-01,153
2024-06-01,92
2024-07-01,112
2024-08-01,102
2024-09-01,98
2024-10-01,116
2024-11-01,99
2024-12-01,172
2025-01-01,171
2025-02-01,87
2025-03-01,120
2025-04-01,151
2025-05-01,118
2025-06-01,211
2025-07-01,130
2025-08-01,141
