,n_commits
2008-01-01,11
2008-02-01,0
2008-03-01,0
2008-04-01,15
2008-05-01,13
2008-06-01,8
2008-07-01,10
2008-08-01,5
2008-09-01,12
2008-10-01,31
2008-11-01,9
2008-12-01,54
2009-01-01,38
2009-02-01,37
2009-03-01,37
2009-04-01,37
2009-05-01,58
2009-06-01,30
2009-07-01,24
2009-08-01,44
2009-09-01,75
2009-10-01,43
2009-11-01,49
2009-12-01,58
2010-01-01,51
2010-02-01,101
2010-03-01,77
2010-04-01,37
2010-05-01,47
2010-06-01,70
2010-07-01,55
2010-08-01,92
2010-09-01,77
2010-10-01,159
2010-11-01,54
2010-12-01,112
2011-01-01,83
2011-02-01,71
2011-03-01,125
2011-04-01,195
2011-05-01,86
2011-06-01,146
2011-07-01,206
2011-08-01,212
2011-09-01,75
2011-10-01,175
2011-11-01,177
2011-12-01,144
2012-01-01,259
2012-02-01,208
2012-03-01,162
2012-04-01,128
2012-05-01,172
2012-06-01,123
2012-07-01,139
2012-08-01,245
2012-09-01,151
2012-10-01,116
2012-11-01,148
2012-12-01,151
2013-01-01,307
2013-02-01,305
2013-03-01,534
2013-04-01,597
2013-05-01,305
2013-06-01,112
2013-07-01,181
2013-08-01,217
2013-09-01,163
2013-10-01,220
2013-11-01,215
2013-12-01,387
2014-01-01,523
2014-02-01,453
2014-03-01,490
2014-04-01,231
2014-05-01,175
2014-06-01,189
2014-07-01,290
2014-08-01,273
2014-09-01,278
2014-10-01,28
2014-11-01,53
2014-12-01,60
2015-01-01,88
2015-02-01,67
2015-03-01,87
2015-04-01,146
2015-05-01,100
2015-06-01,70
2015-07-01,74
2015-08-01,21
2015-09-01,68
2015-10-01,88
2015-11-01,95
2015-12-01,79
2016-01-01,76
2016-02-01,48
2016-03-01,118
2016-04-01,98
2016-05-01,47
2016-06-01,55
2016-07-01,58
2016-08-01,8
2016-09-01,90
2016-10-01,107
2016-11-01,73
2016-12-01,35
2017-01-01,23
2017-02-01,50
2017-03-01,13
2017-04-01,34
2017-05-01,56
2017-06-01,41
2017-07-01,13
2017-08-01,14
2017-09-01,25
2017-10-01,31
2017-11-01,36
2017-12-01,34
2018-01-01,39
2018-02-01,75
2018-03-01,47
2018-04-01,48
2018-05-01,67
2018-06-01,17
2018-07-01,28
2018-08-01,75
2018-09-01,81
2018-10-01,153
2018-11-01,98
2018-12-01,31
2019-01-01,49
2019-02-01,43
2019-03-01,67
2019-04-01,80
2019-05-01,72
2019-06-01,60
2019-07-01,67
2019-08-01,89
2019-09-01,96
2019-10-01,130
2019-11-01,95
2019-12-01,84
2020-01-01,54
2020-02-01,99
2020-03-01,46
2020-04-01,84
2020-05-01,31
2020-06-01,109
2020-07-01,30
2020-08-01,105
2020-09-01,82
2020-10-01,116
2020-11-01,66
2020-12-01,50
2021-01-01,71
2021-02-01,50
2021-03-01,99
2021-04-01,69
2021-05-01,125
2021-06-01,67
2021-07-01,33
2021-08-01,39
2021-09-01,12
2021-10-01,47
2021-11-01,32
2021-12-01,11
2022-01-01,30
2022-02-01,16
2022-03-01,45
2022-04-01,17
2022-05-01,14
2022-06-01,35
2022-07-01,25
2022-08-01,40
2022-09-01,33
2022-10-01,15
2022-11-01,26
2022-12-01,32
2023-01-01,32
2023-02-01,6
2023-03-01,28
2023-04-01,34
2023-05-01,14
2023-06-01,30
2023-07-01,23
2023-08-01,9
2023-09-01,20
2023-10-01,25
2023-11-01,52
2023-12-01,24
2024-01-01,33
2024-02-01,30
2024-03-01,19
2024-04-01,16
2024-05-01,22
2024-06-01,27
2024-07-01,36
2024-08-01,11
2024-09-01,6
2024-10-01,14
2024-11-01,10
2024-12-01,52
2025-01-01,24
2025-02-01,15
2025-03-01,72
2025-04-01,48
2025-05-01,36
2025-06-01,14
2025-07-01,51
2025-08-01,29
