,n_commits
2012-09-01,142
2012-10-01,245
2012-11-01,238
2012-12-01,340
2013-01-01,123
2013-02-01,89
2013-03-01,27
2013-04-01,73
2013-05-01,202
2013-06-01,153
2013-07-01,68
2013-08-01,223
2013-09-01,125
2013-10-01,138
2013-11-01,117
2013-12-01,170
2014-01-01,128
2014-02-01,82
2014-03-01,133
2014-04-01,77
2014-05-01,131
2014-06-01,195
2014-07-01,197
2014-08-01,186
2014-09-01,163
2014-10-01,191
2014-11-01,179
2014-12-01,129
2015-01-01,149
2015-02-01,187
2015-03-01,179
2015-04-01,144
2015-05-01,175
2015-06-01,287
2015-07-01,206
2015-08-01,430
2015-09-01,476
2015-10-01,226
2015-11-01,61
2015-12-01,76
2016-01-01,147
2016-02-01,185
2016-03-01,379
2016-04-01,172
2016-05-01,330
2016-06-01,363
2016-07-01,171
2016-08-01,97
2016-09-01,162
2016-10-01,115
2016-11-01,103
2016-12-01,205
2017-01-01,133
2017-02-01,88
2017-03-01,67
2017-04-01,46
2017-05-01,54
2017-06-01,99
2017-07-01,26
2017-08-01,63
2017-09-01,131
2017-10-01,101
2017-11-01,61
2017-12-01,45
2018-01-01,135
2018-02-01,18
2018-03-01,51
2018-04-01,113
2018-05-01,63
2018-06-01,67
2018-07-01,70
2018-08-01,90
2018-09-01,74
2018-10-01,90
2018-11-01,40
2018-12-01,60
2019-01-01,107
2019-02-01,92
2019-03-01,60
2019-04-01,93
2019-05-01,83
2019-06-01,54
2019-07-01,92
2019-08-01,140
2019-09-01,88
2019-10-01,105
2019-11-01,65
2019-12-01,36
2020-01-01,53
2020-02-01,93
2020-03-01,122
2020-04-01,128
2020-05-01,85
2020-06-01,91
2020-07-01,35
2020-08-01,25
2020-09-01,28
2020-10-01,28
2020-11-01,44
2020-12-01,49
2021-01-01,126
2021-02-01,45
2021-03-01,34
2021-04-01,27
2021-05-01,31
2021-06-01,82
2021-07-01,74
2021-08-01,56
2021-09-01,74
2021-10-01,64
2021-11-01,82
2021-12-01,78
2022-01-01,71
2022-02-01,32
2022-03-01,55
2022-04-01,33
2022-05-01,18
2022-06-01,42
2022-07-01,78
2022-08-01,53
2022-09-01,97
2022-10-01,60
2022-11-01,64
2022-12-01,45
2023-01-01,70
2023-02-01,54
2023-03-01,79
2023-04-01,89
2023-05-01,64
2023-06-01,50
2023-07-01,39
2023-08-01,20
2023-09-01,35
2023-10-01,33
2023-11-01,58
2023-12-01,76
2024-01-01,72
2024-02-01,36
2024-03-01,42
2024-04-01,72
2024-05-01,55
2024-06-01,66
2024-07-01,23
2024-08-01,78
2024-09-01,69
2024-10-01,55
2024-11-01,49
2024-12-01,56
2025-01-01,39
2025-02-01,78
2025-03-01,54
2025-04-01,69
2025-05-01,79
2025-06-01,49
2025-07-01,82
2025-08-01,60
