,n_commits
2014-11-01,45
2014-12-01,41
2015-01-01,68
2015-02-01,43
2015-03-01,66
2015-04-01,37
2015-05-01,117
2015-06-01,100
2015-07-01,39
2015-08-01,277
2015-09-01,334
2015-10-01,332
2015-11-01,234
2015-12-01,195
2016-01-01,332
2016-02-01,464
2016-03-01,204
2016-04-01,54
2016-05-01,113
2016-06-01,88
2016-07-01,104
2016-08-01,200
2016-09-01,131
2016-10-01,143
2016-11-01,167
2016-12-01,263
2017-01-01,287
2017-02-01,277
2017-03-01,391
2017-04-01,238
2017-05-01,277
2017-06-01,279
2017-07-01,153
2017-08-01,216
2017-09-01,149
2017-10-01,134
2017-11-01,107
2017-12-01,101
2018-01-01,100
2018-02-01,125
2018-03-01,147
2018-04-01,219
2018-05-01,157
2018-06-01,189
2018-07-01,68
2018-08-01,164
2018-09-01,70
2018-10-01,121
2018-11-01,123
2018-12-01,82
2019-01-01,85
2019-02-01,96
2019-03-01,57
2019-04-01,58
2019-05-01,204
2019-06-01,85
2019-07-01,122
2019-08-01,84
2019-09-01,82
2019-10-01,100
2019-11-01,96
2019-12-01,58
2020-01-01,70
2020-02-01,85
2020-03-01,103
2020-04-01,156
2020-05-01,100
2020-06-01,95
2020-07-01,42
2020-08-01,81
2020-09-01,98
2020-10-01,121
2020-11-01,185
2020-12-01,81
2021-01-01,97
2021-02-01,151
2021-03-01,114
2021-04-01,120
2021-05-01,104
2021-06-01,57
2021-07-01,46
2021-08-01,97
2021-09-01,66
2021-10-01,153
2021-11-01,68
2021-12-01,87
2022-01-01,152
2022-02-01,116
2022-03-01,63
2022-04-01,29
2022-05-01,15
2022-06-01,34
2022-07-01,61
2022-08-01,49
2022-09-01,30
2022-10-01,80
2022-11-01,188
2022-12-01,117
2023-01-01,129
2023-02-01,75
2023-03-01,77
2023-04-01,44
2023-05-01,106
2023-06-01,43
2023-07-01,91
2023-08-01,46
2023-09-01,42
2023-10-01,61
2023-11-01,63
2023-12-01,105
2024-01-01,114
2024-02-01,23
2024-03-01,13
2024-04-01,41
2024-05-01,45
2024-06-01,78
2024-07-01,59
2024-08-01,45
2024-09-01,71
2024-10-01,45
2024-11-01,25
2024-12-01,97
2025-01-01,26
2025-02-01,8
2025-03-01,124
2025-04-01,56
2025-05-01,51
2025-06-01,19
2025-07-01,8
2025-08-01,36
