,n_commits
2009-06-01,40
2009-07-01,139
2009-08-01,0
2009-09-01,0
2009-10-01,6
2009-11-01,67
2009-12-01,408
2010-01-01,112
2010-02-01,118
2010-03-01,282
2010-04-01,155
2010-05-01,59
2010-06-01,41
2010-07-01,406
2010-08-01,119
2010-09-01,74
2010-10-01,148
2010-11-01,80
2010-12-01,85
2011-01-01,26
2011-02-01,41
2011-03-01,248
2011-04-01,82
2011-05-01,99
2011-06-01,50
2011-07-01,111
2011-08-01,53
2011-09-01,9
2011-10-01,64
2011-11-01,211
2011-12-01,56
2012-01-01,12
2012-02-01,102
2012-03-01,25
2012-04-01,136
2012-05-01,45
2012-06-01,67
2012-07-01,51
2012-08-01,34
2012-09-01,21
2012-10-01,35
2012-11-01,25
2012-12-01,12
2013-01-01,26
2013-02-01,22
2013-03-01,10
2013-04-01,53
2013-05-01,29
2013-06-01,23
2013-07-01,13
2013-08-01,23
2013-09-01,29
2013-10-01,32
2013-11-01,20
2013-12-01,16
2014-01-01,36
2014-02-01,16
2014-03-01,57
2014-04-01,50
2014-05-01,110
2014-06-01,91
2014-07-01,97
2014-08-01,84
2014-09-01,74
2014-10-01,59
2014-11-01,44
2014-12-01,12
2015-01-01,56
2015-02-01,40
2015-03-01,39
2015-04-01,2
2015-05-01,24
2015-06-01,43
2015-07-01,37
2015-08-01,4
2015-09-01,0
2015-10-01,0
2015-11-01,10
2015-12-01,12
2016-01-01,15
2016-02-01,4
2016-03-01,1
2016-04-01,0
2016-05-01,20
2016-06-01,19
2016-07-01,1
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,1
2016-12-01,5
2017-01-01,25
2017-02-01,37
2017-03-01,36
2017-04-01,4
2017-05-01,15
2017-06-01,2
2017-07-01,7
2017-08-01,17
2017-09-01,46
2017-10-01,9
2017-11-01,0
2017-12-01,0
2018-01-01,15
2018-02-01,8
2018-03-01,5
2018-04-01,0
2018-05-01,0
2018-06-01,3
2018-07-01,1
2018-08-01,0
2018-09-01,15
2018-10-01,13
2018-11-01,0
2018-12-01,3
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,13
2019-05-01,32
2019-06-01,1
2019-07-01,0
2019-08-01,3
2019-09-01,0
2019-10-01,0
2019-11-01,4
2019-12-01,0
2020-01-01,4
2020-02-01,4
2020-03-01,8
2020-04-01,3
2020-05-01,1
2020-06-01,2
2020-07-01,6
2020-08-01,1
2020-09-01,1
2020-10-01,2
2020-11-01,1
2020-12-01,2
2021-01-01,1
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,8
2021-08-01,7
2021-09-01,2
2021-10-01,1
2021-11-01,10
2021-12-01,22
2022-01-01,1
2022-02-01,46
2022-03-01,25
2022-04-01,25
2022-05-01,6
2022-06-01,0
2022-07-01,0
2022-08-01,5
2022-09-01,0
2022-10-01,7
2022-11-01,4
2022-12-01,0
2023-01-01,0
2023-02-01,15
2023-03-01,4
2023-04-01,2
2023-05-01,1
2023-06-01,1
2023-07-01,0
2023-08-01,3
2023-09-01,0
2023-10-01,0
2023-11-01,1
2023-12-01,0
2024-01-01,0
2024-02-01,15
2024-03-01,34
2024-04-01,11
2024-05-01,9
2024-06-01,5
2024-07-01,6
2024-08-01,23
2024-09-01,18
2024-10-01,12
