,n_commits
2019-06-01,108
2019-07-01,17
2019-08-01,36
2019-09-01,86
2019-10-01,39
2019-11-01,29
2019-12-01,67
2020-01-01,159
2020-02-01,182
2020-03-01,172
2020-04-01,78
2020-05-01,28
2020-06-01,0
2020-07-01,1
2020-08-01,0
2020-09-01,0
2020-10-01,49
2020-11-01,85
2020-12-01,24
2021-01-01,27
2021-02-01,22
2021-03-01,29
2021-04-01,18
2021-05-01,12
2021-06-01,11
2021-07-01,6
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,3
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,2
2022-04-01,0
2022-05-01,2
