,n_commits
2022-02-01,7
2022-03-01,56
2022-04-01,30
2022-05-01,28
2022-06-01,67
2022-07-01,33
2022-08-01,29
2022-09-01,57
2022-10-01,95
2022-11-01,52
2022-12-01,31
2023-01-01,47
2023-02-01,33
2023-03-01,61
2023-04-01,46
2023-05-01,44
2023-06-01,48
2023-07-01,63
2023-08-01,40
2023-09-01,40
2023-10-01,57
2023-11-01,73
2023-12-01,63
2024-01-01,94
2024-02-01,84
2024-03-01,41
2024-04-01,52
2024-05-01,117
2024-06-01,78
2024-07-01,89
2024-08-01,102
2024-09-01,60
2024-10-01,12
2024-11-01,80
2024-12-01,97
2025-01-01,44
2025-02-01,73
2025-03-01,105
2025-04-01,51
2025-05-01,71
2025-06-01,63
2025-07-01,75
2025-08-01,52
