,n_commits
2018-06-01,29
2018-07-01,99
2018-08-01,33
2018-09-01,85
2018-10-01,150
2018-11-01,76
2018-12-01,55
2019-01-01,100
2019-02-01,56
2019-03-01,84
2019-04-01,77
2019-05-01,90
2019-06-01,42
2019-07-01,78
2019-08-01,73
2019-09-01,54
2019-10-01,70
2019-11-01,67
2019-12-01,73
2020-01-01,64
2020-02-01,51
2020-03-01,101
2020-04-01,140
2020-05-01,98
2020-06-01,132
2020-07-01,120
2020-08-01,89
2020-09-01,84
2020-10-01,62
2020-11-01,66
2020-12-01,41
2021-01-01,70
2021-02-01,120
2021-03-01,154
2021-04-01,94
2021-05-01,125
2021-06-01,110
2021-07-01,118
2021-08-01,137
2021-09-01,105
2021-10-01,83
2021-11-01,96
2021-12-01,90
2022-01-01,104
2022-02-01,124
2022-03-01,121
2022-04-01,119
2022-05-01,92
2022-06-01,189
2022-07-01,162
2022-08-01,245
2022-09-01,265
2022-10-01,289
2022-11-01,297
2022-12-01,177
2023-01-01,198
2023-02-01,223
2023-03-01,260
2023-04-01,267
2023-05-01,235
2023-06-01,213
2023-07-01,172
2023-08-01,162
2023-09-01,47
2023-10-01,57
2023-11-01,34
2023-12-01,31
2024-01-01,67
2024-02-01,35
2024-03-01,98
2024-04-01,97
2024-05-01,112
2024-06-01,137
2024-07-01,114
2024-08-01,107
2024-09-01,106
2024-10-01,85
2024-11-01,72
2024-12-01,61
2025-01-01,84
2025-02-01,83
2025-03-01,82
2025-04-01,59
2025-05-01,28
2025-06-01,42
2025-07-01,47
2025-08-01,35
