,n_commits
2016-02-01,92
2016-03-01,53
2016-04-01,11
2016-05-01,6
2016-06-01,22
2016-07-01,12
2016-08-01,16
2016-09-01,3
2016-10-01,2
2016-11-01,3
2016-12-01,2
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,6
2017-05-01,106
2017-06-01,20
2017-07-01,8
2017-08-01,37
2017-09-01,18
2017-10-01,29
2017-11-01,19
2017-12-01,8
2018-01-01,17
2018-02-01,11
2018-03-01,7
2018-04-01,0
2018-05-01,7
2018-06-01,39
2018-07-01,16
2018-08-01,11
2018-09-01,9
2018-10-01,5
2018-11-01,11
2018-12-01,6
2019-01-01,24
2019-02-01,4
2019-03-01,0
2019-04-01,7
2019-05-01,1
2019-06-01,4
2019-07-01,7
2019-08-01,5
2019-09-01,0
2019-10-01,0
2019-11-01,4
2019-12-01,0
2020-01-01,3
2020-02-01,4
2020-03-01,14
2020-04-01,58
2020-05-01,22
2020-06-01,16
2020-07-01,86
2020-08-01,71
2020-09-01,136
2020-10-01,121
2020-11-01,13
2020-12-01,27
2021-01-01,211
2021-02-01,208
2021-03-01,138
2021-04-01,15
2021-05-01,20
2021-06-01,7
2021-07-01,7
2021-08-01,25
2021-09-01,5
2021-10-01,41
2021-11-01,7
2021-12-01,22
2022-01-01,9
2022-02-01,5
2022-03-01,8
2022-04-01,2
2022-05-01,7
2022-06-01,0
2022-07-01,2
2022-08-01,0
2022-09-01,0
2022-10-01,4
