,n_commits
2016-10-01,178
2016-11-01,300
2016-12-01,117
2017-01-01,201
2017-02-01,68
2017-03-01,6
2017-04-01,13
2017-05-01,41
2017-06-01,17
2017-07-01,11
2017-08-01,61
2017-09-01,333
2017-10-01,171
2017-11-01,196
2017-12-01,251
2018-01-01,125
2018-02-01,137
2018-03-01,137
2018-04-01,150
2018-05-01,280
2018-06-01,267
2018-07-01,161
2018-08-01,77
2018-09-01,181
2018-10-01,84
2018-11-01,74
2018-12-01,91
2019-01-01,118
2019-02-01,122
2019-03-01,96
2019-04-01,60
2019-05-01,83
2019-06-01,156
2019-07-01,153
2019-08-01,58
2019-09-01,82
2019-10-01,94
2019-11-01,119
2019-12-01,83
2020-01-01,166
2020-02-01,134
2020-03-01,162
2020-04-01,89
2020-05-01,117
2020-06-01,123
2020-07-01,108
2020-08-01,74
2020-09-01,105
2020-10-01,96
2020-11-01,40
2020-12-01,83
2021-01-01,196
2021-02-01,111
2021-03-01,108
2021-04-01,174
2021-05-01,194
2021-06-01,168
2021-07-01,150
2021-08-01,237
2021-09-01,191
2021-10-01,248
2021-11-01,337
2021-12-01,164
2022-01-01,345
2022-02-01,282
2022-03-01,432
2022-04-01,225
2022-05-01,75
2022-06-01,165
2022-07-01,64
2022-08-01,368
2022-09-01,100
2022-10-01,38
2022-11-01,568
2022-12-01,130
2023-01-01,195
2023-02-01,221
2023-03-01,260
2023-04-01,68
2023-05-01,86
2023-06-01,97
2023-07-01,278
2023-08-01,78
2023-09-01,98
2023-10-01,141
2023-11-01,83
2023-12-01,69
2024-01-01,81
2024-02-01,410
2024-03-01,195
2024-04-01,138
2024-05-01,129
2024-06-01,229
2024-07-01,244
2024-08-01,105
2024-09-01,81
2024-10-01,87
2024-11-01,83
2024-12-01,56
2025-01-01,87
2025-02-01,290
2025-03-01,167
2025-04-01,261
2025-05-01,205
2025-06-01,91
2025-07-01,141
2025-08-01,211
