,n_commits
2015-11-01,556
2015-12-01,834
2016-01-01,1012
2016-02-01,888
2016-03-01,882
2016-04-01,887
2016-05-01,977
2016-06-01,1275
2016-07-01,759
2016-08-01,1040
2016-09-01,1129
2016-10-01,1127
2016-11-01,1127
2016-12-01,901
2017-01-01,1354
2017-02-01,1064
2017-03-01,1367
2017-04-01,887
2017-05-01,1410
2017-06-01,1427
2017-07-01,1167
2017-08-01,993
2017-09-01,1331
2017-10-01,1251
2017-11-01,1302
2017-12-01,1007
2018-01-01,1252
2018-02-01,1234
2018-03-01,1473
2018-04-01,1475
2018-05-01,1520
2018-06-01,1470
2018-07-01,1399
2018-08-01,1276
2018-09-01,1380
2018-10-01,1541
2018-11-01,1193
2018-12-01,1074
2019-01-01,1237
2019-02-01,1122
2019-03-01,1390
2019-04-01,985
2019-05-01,745
2019-06-01,1272
2019-07-01,1620
2019-08-01,1299
2019-09-01,1306
2019-10-01,1473
2019-11-01,1455
2019-12-01,953
2020-01-01,1376
2020-02-01,1594
2020-03-01,1493
2020-04-01,1678
2020-05-01,1295
2020-06-01,1507
2020-07-01,1083
2020-08-01,1049
2020-09-01,1171
2020-10-01,987
2020-11-01,1371
2020-12-01,1120
2021-01-01,1283
2021-02-01,1630
2021-03-01,1637
2021-04-01,1885
2021-05-01,1683
2021-06-01,1664
2021-07-01,1200
2021-08-01,1105
2021-09-01,1162
2021-10-01,922
2021-11-01,1263
2021-12-01,800
2022-01-01,1406
2022-02-01,1311
2022-03-01,1501
2022-04-01,817
2022-05-01,924
2022-06-01,1195
2022-07-01,1011
2022-08-01,1058
2022-09-01,969
2022-10-01,894
2022-11-01,1025
2022-12-01,987
2023-01-01,903
2023-02-01,833
2023-03-01,1359
2023-04-01,1048
2023-05-01,1223
2023-06-01,1255
2023-07-01,999
2023-08-01,1257
2023-09-01,1092
2023-10-01,1163
2023-11-01,1236
2023-12-01,740
2024-01-01,849
2024-02-01,1017
2024-03-01,1135
2024-04-01,1002
2024-05-01,756
2024-06-01,639
2024-07-01,809
2024-08-01,941
2024-09-01,1143
2024-10-01,909
2024-11-01,36
