,n_commits
2015-11-01,1
2015-12-01,3
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,18
2016-05-01,0
2016-06-01,7
2016-07-01,1
2016-08-01,23
2016-09-01,10
2016-10-01,0
2016-11-01,9
2016-12-01,3
2017-01-01,0
2017-02-01,5
2017-03-01,16
2017-04-01,33
2017-05-01,20
2017-06-01,17
2017-07-01,27
2017-08-01,15
2017-09-01,40
2017-10-01,79
2017-11-01,140
2017-12-01,45
2018-01-01,33
2018-02-01,20
2018-03-01,35
2018-04-01,17
2018-05-01,5
2018-06-01,15
2018-07-01,12
2018-08-01,0
2018-09-01,12
2018-10-01,14
2018-11-01,29
2018-12-01,7
2019-01-01,6
2019-02-01,24
2019-03-01,26
2019-04-01,8
2019-05-01,25
2019-06-01,4
2019-07-01,14
2019-08-01,2
2019-09-01,26
2019-10-01,10
2019-11-01,13
2019-12-01,4
2020-01-01,8
2020-02-01,9
2020-03-01,3
2020-04-01,8
2020-05-01,5
2020-06-01,7
2020-07-01,2
2020-08-01,10
2020-09-01,4
2020-10-01,6
2020-11-01,3
2020-12-01,1
2021-01-01,1
2021-02-01,7
2021-03-01,5
2021-04-01,0
2021-05-01,16
2021-06-01,0
2021-07-01,57
2021-08-01,8
2021-09-01,8
2021-10-01,7
2021-11-01,14
2021-12-01,9
2022-01-01,8
2022-02-01,5
2022-03-01,5
2022-04-01,4
2022-05-01,8
2022-06-01,1
2022-07-01,13
2022-08-01,13
2022-09-01,5
2022-10-01,2
2022-11-01,5
2022-12-01,5
2023-01-01,4
2023-02-01,2
2023-03-01,15
2023-04-01,0
2023-05-01,0
2023-06-01,2
2023-07-01,0
2023-08-01,17
2023-09-01,3
2023-10-01,2
2023-11-01,6
2023-12-01,0
2024-01-01,1
2024-02-01,0
2024-03-01,12
2024-04-01,0
2024-05-01,1
2024-06-01,1
2024-07-01,0
2024-08-01,6
2024-09-01,1
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,2
2025-02-01,3
2025-03-01,7
2025-04-01,5
2025-05-01,0
2025-06-01,3
2025-07-01,13
2025-08-01,4
