,n_commits
2021-02-01,233
2021-03-01,174
2021-04-01,13
2021-05-01,35
2021-06-01,94
2021-07-01,92
2021-08-01,31
2021-09-01,46
2021-10-01,19
2021-11-01,2
2021-12-01,16
2022-01-01,34
2022-02-01,7
2022-03-01,10
2022-04-01,6
2022-05-01,4
2022-06-01,5
2022-07-01,8
2022-08-01,4
2022-09-01,0
2022-10-01,11
2022-11-01,3
2022-12-01,1
2023-01-01,2
2023-02-01,22
2023-03-01,23
2023-04-01,3
2023-05-01,4
2023-06-01,2
2023-07-01,26
2023-08-01,33
2023-09-01,148
2023-10-01,106
2023-11-01,47
2023-12-01,34
2024-01-01,91
2024-02-01,63
2024-03-01,7
2024-04-01,29
2024-05-01,35
2024-06-01,44
2024-07-01,38
2024-08-01,5
2024-09-01,4
2024-10-01,17
2024-11-01,13
2024-12-01,0
2025-01-01,3
2025-02-01,6
2025-03-01,0
2025-04-01,2
2025-05-01,1
2025-06-01,3
2025-07-01,7
2025-08-01,1
