,n_commits
2010-04-01,169
2010-05-01,96
2010-06-01,71
2010-07-01,165
2010-08-01,21
2010-09-01,3
2010-10-01,16
2010-11-01,7
2010-12-01,7
2011-01-01,12
2011-02-01,8
2011-03-01,29
2011-04-01,13
2011-05-01,30
2011-06-01,103
2011-07-01,56
2011-08-01,100
2011-09-01,64
2011-10-01,17
2011-11-01,15
2011-12-01,3
2012-01-01,50
2012-02-01,20
2012-03-01,58
2012-04-01,62
2012-05-01,8
2012-06-01,23
2012-07-01,23
2012-08-01,19
2012-09-01,8
2012-10-01,48
2012-11-01,10
2012-12-01,16
2013-01-01,19
2013-02-01,8
2013-03-01,13
2013-04-01,8
2013-05-01,110
2013-06-01,73
2013-07-01,24
2013-08-01,21
2013-09-01,18
2013-10-01,19
2013-11-01,3
2013-12-01,5
2014-01-01,18
2014-02-01,56
2014-03-01,37
2014-04-01,51
2014-05-01,37
2014-06-01,15
2014-07-01,28
2014-08-01,32
2014-09-01,69
2014-10-01,39
2014-11-01,36
2014-12-01,33
2015-01-01,21
2015-02-01,41
2015-03-01,41
2015-04-01,26
2015-05-01,14
2015-06-01,46
2015-07-01,21
2015-08-01,3
2015-09-01,3
2015-10-01,14
2015-11-01,19
2015-12-01,15
2016-01-01,13
2016-02-01,11
2016-03-01,15
2016-04-01,21
2016-05-01,40
2016-06-01,88
2016-07-01,12
2016-08-01,34
2016-09-01,28
2016-10-01,11
2016-11-01,14
2016-12-01,25
2017-01-01,13
2017-02-01,11
2017-03-01,31
2017-04-01,49
2017-05-01,166
2017-06-01,83
2017-07-01,16
2017-08-01,12
2017-09-01,6
2017-10-01,14
2017-11-01,11
2017-12-01,24
2018-01-01,42
2018-02-01,23
2018-03-01,6
2018-04-01,110
2018-05-01,45
2018-06-01,24
2018-07-01,7
2018-08-01,1
2018-09-01,17
2018-10-01,10
2018-11-01,11
2018-12-01,4
2019-01-01,70
2019-02-01,4
2019-03-01,2
2019-04-01,4
2019-05-01,127
2019-06-01,46
2019-07-01,41
2019-08-01,16
2019-09-01,18
2019-10-01,17
2019-11-01,20
2019-12-01,0
2020-01-01,0
2020-02-01,45
2020-03-01,13
2020-04-01,33
2020-05-01,9
2020-06-01,16
2020-07-01,38
2020-08-01,11
2020-09-01,4
2020-10-01,9
2020-11-01,20
2020-12-01,3
2021-01-01,17
2021-02-01,27
2021-03-01,17
2021-04-01,46
2021-05-01,111
2021-06-01,21
2021-07-01,14
2021-08-01,37
2021-09-01,12
2021-10-01,31
2021-11-01,40
2021-12-01,22
2022-01-01,12
2022-02-01,26
2022-03-01,36
2022-04-01,31
2022-05-01,43
2022-06-01,55
2022-07-01,53
2022-08-01,55
2022-09-01,7
2022-10-01,6
2022-11-01,8
2022-12-01,25
2023-01-01,20
2023-02-01,39
2023-03-01,14
2023-04-01,59
2023-05-01,38
2023-06-01,34
2023-07-01,7
2023-08-01,36
2023-09-01,7
2023-10-01,7
2023-11-01,20
2023-12-01,10
2024-01-01,14
2024-02-01,11
