,n_commits
2009-03-01,45
2009-04-01,57
2009-05-01,61
2009-06-01,37
2009-07-01,7
2009-08-01,1
2009-09-01,12
2009-10-01,58
2009-11-01,89
2009-12-01,68
2010-01-01,76
2010-02-01,19
2010-03-01,122
2010-04-01,99
2010-05-01,204
2010-06-01,89
2010-07-01,54
2010-08-01,88
2010-09-01,56
2010-10-01,57
2010-11-01,71
2010-12-01,120
2011-01-01,61
2011-02-01,30
2011-03-01,87
2011-04-01,64
2011-05-01,103
2011-06-01,62
2011-07-01,61
2011-08-01,5
2011-09-01,94
2011-10-01,86
2011-11-01,100
2011-12-01,62
2012-01-01,63
2012-02-01,76
2012-03-01,92
2012-04-01,149
2012-05-01,48
2012-06-01,15
2012-07-01,39
2012-08-01,23
2012-09-01,18
2012-10-01,31
2012-11-01,45
2012-12-01,14
2013-01-01,56
2013-02-01,120
2013-03-01,132
2013-04-01,30
2013-05-01,69
2013-06-01,34
2013-07-01,86
2013-08-01,52
2013-09-01,35
2013-10-01,58
2013-11-01,94
2013-12-01,69
2014-01-01,79
2014-02-01,115
2014-03-01,165
2014-04-01,113
2014-05-01,83
2014-06-01,99
2014-07-01,86
2014-08-01,70
2014-09-01,76
2014-10-01,71
2014-11-01,38
2014-12-01,107
2015-01-01,101
2015-02-01,100
2015-03-01,48
2015-04-01,20
2015-05-01,57
2015-06-01,53
2015-07-01,52
2015-08-01,21
2015-09-01,22
2015-10-01,59
2015-11-01,70
2015-12-01,40
2016-01-01,52
2016-02-01,27
2016-03-01,11
2016-04-01,24
2016-05-01,128
2016-06-01,104
2016-07-01,59
2016-08-01,18
2016-09-01,52
2016-10-01,38
2016-11-01,37
2016-12-01,52
2017-01-01,24
2017-02-01,27
2017-03-01,8
2017-04-01,44
2017-05-01,23
2017-06-01,31
2017-07-01,54
2017-08-01,7
2017-09-01,19
2017-10-01,4
2017-11-01,63
2017-12-01,110
2018-01-01,38
2018-02-01,56
2018-03-01,130
2018-04-01,72
2018-05-01,72
2018-06-01,179
2018-07-01,175
2018-08-01,60
2018-09-01,124
2018-10-01,114
2018-11-01,56
2018-12-01,58
2019-01-01,206
2019-02-01,112
2019-03-01,133
2019-04-01,24
2019-05-01,56
2019-06-01,14
2019-07-01,93
2019-08-01,17
2019-09-01,99
2019-10-01,138
2019-11-01,119
2019-12-01,87
2020-01-01,55
2020-02-01,149
2020-03-01,119
2020-04-01,165
2020-05-01,148
2020-06-01,50
2020-07-01,78
2020-08-01,90
2020-09-01,91
2020-10-01,64
2020-11-01,59
2020-12-01,103
2021-01-01,89
2021-02-01,68
2021-03-01,93
2021-04-01,83
2021-05-01,50
2021-06-01,88
2021-07-01,49
2021-08-01,63
2021-09-01,59
2021-10-01,86
2021-11-01,82
2021-12-01,64
2022-01-01,112
2022-02-01,83
2022-03-01,70
2022-04-01,76
2022-05-01,53
2022-06-01,60
2022-07-01,51
2022-08-01,65
2022-09-01,33
2022-10-01,43
2022-11-01,56
2022-12-01,29
2023-01-01,34
2023-02-01,33
2023-03-01,51
2023-04-01,38
2023-05-01,57
2023-06-01,45
2023-07-01,22
2023-08-01,31
2023-09-01,14
2023-10-01,30
2023-11-01,60
2023-12-01,39
2024-01-01,53
2024-02-01,45
2024-03-01,25
2024-04-01,10
2024-05-01,30
2024-06-01,19
2024-07-01,30
2024-08-01,23
2024-09-01,36
2024-10-01,19
