,n_commits
2009-10-01,82.0
2009-11-01,33.0
2009-12-01,40.0
2010-01-01,63.0
2010-02-01,9.0
2010-03-01,3.0
2010-04-01,28.0
2010-05-01,16.0
2010-06-01,177.0
2010-07-01,341.0
2010-08-01,208.0
2010-09-01,147.0
2010-10-01,308.0
2010-11-01,408.0
2010-12-01,892.0
2011-01-01,654.0
2011-02-01,320.0
2011-03-01,527.0
2011-04-01,556.0
2011-05-01,635.0
2011-06-01,436.0
2011-07-01,555.0
2011-08-01,480.0
2011-09-01,196.0
2011-10-01,138.0
2011-11-01,134.0
2011-12-01,74.0
2012-01-01,226.0
2012-02-01,131.0
2012-03-01,508.0
2012-04-01,552.0
2012-05-01,589.0
2012-06-01,707.0
2012-07-01,1228.0
2012-08-01,1242.0
2012-09-01,937.0
2012-10-01,898.0
2012-11-01,914.0
2012-12-01,255.0
2013-01-01,499.0
2013-02-01,489.0
2013-03-01,1197.0
2013-04-01,655.0
2013-05-01,579.0
2013-06-01,580.0
2013-07-01,539.0
2013-08-01,449.0
2013-09-01,506.0
2013-10-01,382.0
2013-11-01,474.0
2013-12-01,264.0
2014-01-01,735.0
2014-02-01,652.0
2014-03-01,551.0
2014-04-01,537.0
2014-05-01,445.0
2014-06-01,660.0
2014-07-01,605.0
2014-08-01,736.0
2014-09-01,523.0
2014-10-01,432.0
2014-11-01,426.0
2014-12-01,294.0
2015-01-01,500.0
2015-02-01,439.0
2015-03-01,363.0
2015-04-01,321.0
2015-05-01,357.0
2015-06-01,391.0
2015-07-01,223.0
2015-08-01,178.0
2015-09-01,256.0
2015-10-01,239.0
2015-11-01,189.0
2015-12-01,83.0
2016-01-01,74.0
2016-02-01,94.0
2016-03-01,115.0
2016-04-01,209.0
2016-05-01,103.0
2016-06-01,35.0
2016-07-01,36.0
2016-08-01,53.0
2016-09-01,34.0
2016-10-01,1.0
2016-11-01,1.0
2016-12-01,2.0
2017-01-01,42.0
2017-02-01,8.0
2017-03-01,11.0
2017-04-01,1.0
2017-05-01,4.0
2017-06-01,12.0
2017-07-01,3.0
2017-08-01,1.0
2017-09-01,14.0
2017-10-01,0.0
2017-11-01,2.0
2017-12-01,18.0
2018-01-01,1.0
2018-02-01,1.0
2018-03-01,1.0
2018-04-01,2.0
2018-05-01,2.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,2.0
2019-01-01,1.0
2019-02-01,2.0
2019-03-01,1.0
2019-04-01,2.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,27.0
2019-11-01,11.0
2019-12-01,15.0
2020-01-01,1.0
2020-02-01,0.0
2020-03-01,1.0
2020-04-01,0.0
2020-05-01,2.0
2020-06-01,0.0
2020-07-01,1.0
2020-08-01,4.0
2020-09-01,0.0
2020-10-01,1.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,1.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,1.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,56.0
2022-03-01,35.0
2022-04-01,21.0
2022-05-01,5.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,36.0
2022-09-01,3.0
2022-10-01,7.0
2022-11-01,2.0
2022-12-01,1.0
2023-01-01,1.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,2.0
2023-05-01,0.0
2023-06-01,4.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,3.0
2023-11-01,0.0
2023-12-01,7.0
