,n_commits
2011-02-01,37
2011-03-01,324
2011-04-01,217
2011-05-01,294
2011-06-01,136
2011-07-01,170
2011-08-01,94
2011-09-01,99
2011-10-01,157
2011-11-01,327
2011-12-01,307
2012-01-01,540
2012-02-01,389
2012-03-01,733
2012-04-01,474
2012-05-01,546
2012-06-01,519
2012-07-01,578
2012-08-01,500
2012-09-01,570
2012-10-01,869
2012-11-01,1251
2012-12-01,1050
2013-01-01,1209
2013-02-01,968
2013-03-01,1069
2013-04-01,885
2013-05-01,1482
2013-06-01,1056
2013-07-01,1337
2013-08-01,1337
2013-09-01,1302
2013-10-01,1450
2013-11-01,1263
2013-12-01,1269
2014-01-01,968
2014-02-01,1571
2014-03-01,1724
2014-04-01,1459
2014-05-01,1279
2014-06-01,1573
2014-07-01,1486
2014-08-01,1299
2014-09-01,1521
2014-10-01,1443
2014-11-01,3656
2014-12-01,1208
2015-01-01,2323
2015-02-01,1768
2015-03-01,2048
2015-04-01,2193
2015-05-01,1729
2015-06-01,1318
2015-07-01,1537
2015-08-01,1702
2015-09-01,1161
2015-10-01,1453
2015-11-01,1354
2015-12-01,1488
2016-01-01,1342
2016-02-01,1594
2016-03-01,1417
2016-04-01,687
2016-05-01,719
2016-06-01,1013
2016-07-01,1186
2016-08-01,1324
2016-09-01,1111
2016-10-01,928
2016-11-01,932
2016-12-01,695
2017-01-01,844
2017-02-01,1109
2017-03-01,1429
2017-04-01,1101
2017-05-01,1092
2017-06-01,1033
2017-07-01,844
2017-08-01,1118
2017-09-01,1193
2017-10-01,943
2017-11-01,798
2017-12-01,1050
2018-01-01,1287
2018-02-01,893
2018-03-01,892
2018-04-01,1198
2018-05-01,918
2018-06-01,1104
2018-07-01,835
2018-08-01,1076
2018-09-01,466
2018-10-01,576
2018-11-01,427
2018-12-01,295
2019-01-01,596
2019-02-01,410
2019-03-01,376
2019-04-01,710
2019-05-01,583
2019-06-01,363
2019-07-01,228
2019-08-01,283
2019-09-01,281
2019-10-01,353
2019-11-01,374
2019-12-01,1229
2020-01-01,685
2020-02-01,97
2020-03-01,331
2020-04-01,1288
2020-05-01,580
2020-06-01,71
2020-07-01,310
2020-08-01,222
2020-09-01,447
2020-10-01,308
2020-11-01,162
2020-12-01,230
2021-01-01,309
2021-02-01,836
2021-03-01,389
2021-04-01,156
2021-05-01,81
2021-06-01,98
2021-07-01,228
2021-08-01,258
2021-09-01,199
2021-10-01,100
2021-11-01,55
2021-12-01,122
2022-01-01,200
2022-02-01,247
2022-03-01,117
2022-04-01,157
2022-05-01,223
2022-06-01,188
2022-07-01,119
2022-08-01,160
2022-09-01,356
2022-10-01,474
2022-11-01,301
2022-12-01,470
2023-01-01,325
2023-02-01,381
2023-03-01,350
2023-04-01,325
2023-05-01,267
2023-06-01,400
2023-07-01,200
2023-08-01,451
2023-09-01,330
2023-10-01,320
2023-11-01,392
2023-12-01,444
2024-01-01,370
2024-02-01,191
2024-03-01,137
2024-04-01,186
2024-05-01,167
2024-06-01,158
2024-07-01,24
2024-08-01,12
2024-09-01,31
2024-10-01,3
