,n_commits
2017-11-01,1
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,15
2018-04-01,20
2018-05-01,32
2018-06-01,7
2018-07-01,15
2018-08-01,18
2018-09-01,1
2018-10-01,26
2018-11-01,61
2018-12-01,35
2019-01-01,32
2019-02-01,51
2019-03-01,33
2019-04-01,118
2019-05-01,84
2019-06-01,70
2019-07-01,88
2019-08-01,120
2019-09-01,82
2019-10-01,124
2019-11-01,118
2019-12-01,118
2020-01-01,84
2020-02-01,48
2020-03-01,50
2020-04-01,48
2020-05-01,49
2020-06-01,54
2020-07-01,90
2020-08-01,38
2020-09-01,81
2020-10-01,83
2020-11-01,82
2020-12-01,101
2021-01-01,23
2021-02-01,91
2021-03-01,112
2021-04-01,82
2021-05-01,55
2021-06-01,96
2021-07-01,47
2021-08-01,87
2021-09-01,69
2021-10-01,71
2021-11-01,68
2021-12-01,73
2022-01-01,61
2022-02-01,67
2022-03-01,100
2022-04-01,85
2022-05-01,98
2022-06-01,62
2022-07-01,70
2022-08-01,96
2022-09-01,70
2022-10-01,44
2022-11-01,44
2022-12-01,50
2023-01-01,37
2023-02-01,43
2023-03-01,71
2023-04-01,40
2023-05-01,49
2023-06-01,58
2023-07-01,66
2023-08-01,64
2023-09-01,50
2023-10-01,36
2023-11-01,46
2023-12-01,43
2024-01-01,38
2024-02-01,66
2024-03-01,43
2024-04-01,72
2024-05-01,64
2024-06-01,35
2024-07-01,62
2024-08-01,69
2024-09-01,48
2024-10-01,81
2024-11-01,104
2024-12-01,88
2025-01-01,78
2025-02-01,47
2025-03-01,72
2025-04-01,77
2025-05-01,79
2025-06-01,45
2025-07-01,78
2025-08-01,66
