,n_commits
2006-03-01,29
2006-04-01,37
2006-05-01,23
2006-06-01,16
2006-07-01,30
2006-08-01,7
2006-09-01,10
2006-10-01,24
2006-11-01,10
2006-12-01,10
2007-01-01,8
2007-02-01,27
2007-03-01,12
2007-04-01,0
2007-05-01,0
2007-06-01,3
2007-07-01,0
2007-08-01,0
2007-09-01,0
2007-10-01,2
2007-11-01,0
2007-12-01,2
2008-01-01,1
2008-02-01,2
2008-03-01,35
2008-04-01,8
2008-05-01,12
2008-06-01,1
2008-07-01,21
2008-08-01,39
2008-09-01,39
2008-10-01,7
2008-11-01,3
2008-12-01,4
2009-01-01,15
2009-02-01,29
2009-03-01,30
2009-04-01,39
2009-05-01,5
2009-06-01,33
2009-07-01,38
2009-08-01,184
2009-09-01,58
2009-10-01,31
2009-11-01,22
2009-12-01,24
2010-01-01,24
2010-02-01,39
2010-03-01,32
2010-04-01,71
2010-05-01,88
2010-06-01,71
2010-07-01,58
2010-08-01,25
2010-09-01,76
2010-10-01,101
2010-11-01,135
2010-12-01,44
2011-01-01,80
2011-02-01,90
2011-03-01,107
2011-04-01,40
2011-05-01,104
2011-06-01,92
2011-07-01,47
2011-08-01,64
2011-09-01,46
2011-10-01,158
2011-11-01,97
2011-12-01,36
2012-01-01,26
2012-02-01,123
2012-03-01,259
2012-04-01,49
2012-05-01,62
2012-06-01,184
2012-07-01,166
2012-08-01,89
2012-09-01,286
2012-10-01,289
2012-11-01,126
2012-12-01,2
2013-01-01,106
2013-02-01,40
2013-03-01,170
2013-04-01,164
2013-05-01,210
2013-06-01,113
2013-07-01,172
2013-08-01,50
2013-09-01,23
2013-10-01,93
2013-11-01,59
2013-12-01,188
2014-01-01,55
2014-02-01,137
2014-03-01,93
2014-04-01,236
2014-05-01,129
2014-06-01,29
2014-07-01,138
2014-08-01,86
2014-09-01,208
2014-10-01,94
2014-11-01,59
2014-12-01,33
2015-01-01,67
2015-02-01,306
2015-03-01,18
2015-04-01,0
2015-05-01,7
2015-06-01,34
2015-07-01,185
2015-08-01,6
2015-09-01,131
2015-10-01,132
2015-11-01,40
2015-12-01,7
2016-01-01,31
2016-02-01,91
2016-03-01,47
2016-04-01,38
2016-05-01,70
2016-06-01,259
2016-07-01,33
2016-08-01,52
2016-09-01,90
2016-10-01,5
2016-11-01,67
2016-12-01,18
2017-01-01,62
2017-02-01,157
2017-03-01,8
2017-04-01,7
2017-05-01,39
2017-06-01,200
2017-07-01,68
2017-08-01,30
2017-09-01,134
2017-10-01,124
2017-11-01,25
2017-12-01,93
2018-01-01,49
2018-02-01,17
2018-03-01,131
2018-04-01,150
2018-05-01,160
2018-06-01,152
2018-07-01,38
2018-08-01,246
2018-09-01,230
2018-10-01,45
2018-11-01,39
2018-12-01,13
2019-01-01,81
2019-02-01,53
2019-03-01,31
2019-04-01,56
2019-05-01,538
2019-06-01,113
2019-07-01,291
2019-08-01,164
2019-09-01,26
2019-10-01,25
2019-11-01,94
2019-12-01,101
2020-01-01,120
2020-02-01,76
2020-03-01,55
2020-04-01,56
2020-05-01,97
2020-06-01,158
2020-07-01,166
2020-08-01,134
2020-09-01,63
2020-10-01,37
2020-11-01,22
2020-12-01,23
2021-01-01,59
2021-02-01,27
2021-03-01,57
2021-04-01,41
2021-05-01,24
2021-06-01,46
2021-07-01,190
2021-08-01,60
2021-09-01,132
2021-10-01,70
2021-11-01,50
2021-12-01,67
2022-01-01,116
2022-02-01,38
2022-03-01,27
2022-04-01,35
2022-05-01,32
2022-06-01,64
2022-07-01,18
2022-08-01,29
2022-09-01,10
2022-10-01,44
2022-11-01,42
2022-12-01,47
2023-01-01,38
2023-02-01,42
2023-03-01,9
2023-04-01,79
2023-05-01,33
2023-06-01,37
2023-07-01,5
2023-08-01,6
2023-09-01,5
2023-10-01,17
2023-11-01,1
2023-12-01,120
2024-01-01,16
2024-02-01,19
2024-03-01,5
2024-04-01,25
2024-05-01,39
2024-06-01,81
2024-07-01,22
2024-08-01,10
2024-09-01,27
2024-10-01,62
2024-11-01,39
2024-12-01,25
2025-01-01,27
2025-02-01,11
2025-03-01,21
2025-04-01,14
2025-05-01,4
2025-06-01,3
2025-07-01,32
2025-08-01,8
