,n_commits
2020-10-01,236
2020-11-01,107
2020-12-01,101
2021-01-01,45
2021-02-01,36
2021-03-01,206
2021-04-01,189
2021-05-01,94
2021-06-01,54
2021-07-01,107
2021-08-01,140
2021-09-01,88
2021-10-01,51
2021-11-01,56
2021-12-01,50
2022-01-01,182
2022-02-01,163
2022-03-01,85
2022-04-01,106
2022-05-01,113
2022-06-01,54
2022-07-01,156
2022-08-01,198
2022-09-01,164
2022-10-01,92
2022-11-01,143
2022-12-01,125
2023-01-01,165
2023-02-01,134
2023-03-01,62
2023-04-01,63
2023-05-01,81
2023-06-01,51
2023-07-01,35
2023-08-01,36
2023-09-01,23
2023-10-01,31
2023-11-01,35
2023-12-01,165
2024-01-01,90
2024-02-01,13
2024-03-01,28
2024-04-01,14
2024-05-01,23
2024-06-01,56
2024-07-01,24
2024-08-01,15
2024-09-01,22
2024-10-01,78
2024-11-01,38
2024-12-01,48
2025-01-01,65
2025-02-01,24
2025-03-01,44
2025-04-01,25
2025-05-01,22
2025-06-01,37
2025-07-01,28
2025-08-01,127
