,n_commits
2010-07-01,115
2010-08-01,35
2010-09-01,4
2010-10-01,44
2010-11-01,11
2010-12-01,0
2011-01-01,0
2011-02-01,15
2011-03-01,87
2011-04-01,36
2011-05-01,3
2011-06-01,6
2011-07-01,68
2011-08-01,181
2011-09-01,72
2011-10-01,46
2011-11-01,99
2011-12-01,84
2012-01-01,107
2012-02-01,27
2012-03-01,158
2012-04-01,310
2012-05-01,334
2012-06-01,144
2012-07-01,183
2012-08-01,275
2012-09-01,87
2012-10-01,175
2012-11-01,191
2012-12-01,258
2013-01-01,229
2013-02-01,197
2013-03-01,245
2013-04-01,347
2013-05-01,378
2013-06-01,352
2013-07-01,740
2013-08-01,881
2013-09-01,822
2013-10-01,907
2013-11-01,477
2013-12-01,852
2014-01-01,1105
2014-02-01,995
2014-03-01,860
2014-04-01,1034
2014-05-01,1194
2014-06-01,661
2014-07-01,1357
2014-08-01,726
2014-09-01,735
2014-10-01,597
2014-11-01,523
2014-12-01,510
2015-01-01,639
2015-02-01,698
2015-03-01,1039
2015-04-01,1080
2015-05-01,1072
2015-06-01,585
2015-07-01,982
2015-08-01,609
2015-09-01,695
2015-10-01,537
2015-11-01,786
2015-12-01,2537
2016-01-01,1411
2016-02-01,1410
2016-03-01,1868
2016-04-01,1306
2016-05-01,1064
2016-06-01,1104
2016-07-01,1567
2016-08-01,1044
2016-09-01,936
2016-10-01,1081
2016-11-01,979
2016-12-01,1262
2017-01-01,1588
2017-02-01,1791
2017-03-01,1844
2017-04-01,1990
2017-05-01,1828
2017-06-01,1306
2017-07-01,1136
2017-08-01,1137
2017-09-01,1474
2017-10-01,1253
2017-11-01,1387
2017-12-01,1235
2018-01-01,1770
2018-02-01,1523
2018-03-01,2175
2018-04-01,1470
2018-05-01,1439
2018-06-01,1279
2018-07-01,1744
2018-08-01,1890
2018-09-01,1502
2018-10-01,1445
2018-11-01,1627
2018-12-01,1148
2019-01-01,1513
2019-02-01,1552
2019-03-01,1478
2019-04-01,1426
2019-05-01,1446
2019-06-01,1443
2019-07-01,1195
2019-08-01,1671
2019-09-01,1417
2019-10-01,1333
2019-11-01,1322
2019-12-01,989
2020-01-01,1612
2020-02-01,1550
2020-03-01,1449
2020-04-01,1698
2020-05-01,1524
2020-06-01,1208
2020-07-01,1297
2020-08-01,1333
2020-09-01,1052
2020-10-01,1135
2020-11-01,942
2020-12-01,898
2021-01-01,1361
2021-02-01,1494
2021-03-01,1453
2021-04-01,1245
2021-05-01,994
2021-06-01,1024
2021-07-01,1334
2021-08-01,1225
2021-09-01,1253
2021-10-01,1244
2021-11-01,1210
2021-12-01,1473
2022-01-01,1223
2022-02-01,1486
2022-03-01,1686
2022-04-01,1386
2022-05-01,1315
2022-06-01,1398
2022-07-01,1178
2022-08-01,1325
2022-09-01,1244
2022-10-01,1110
2022-11-01,1308
2022-12-01,1207
2023-01-01,1429
2023-02-01,1764
2023-03-01,2026
2023-04-01,1108
2023-05-01,1202
2023-06-01,1300
2023-07-01,1214
2023-08-01,1542
2023-09-01,1562
2023-10-01,1209
2023-11-01,989
2023-12-01,853
2024-01-01,1298
2024-02-01,1660
2024-03-01,1894
2024-04-01,1067
2024-05-01,1292
2024-06-01,1238
2024-07-01,1435
2024-08-01,1147
2024-09-01,1188
2024-10-01,1172
2024-11-01,947
2024-12-01,990
2025-01-01,1105
2025-02-01,1158
2025-03-01,1621
2025-04-01,1093
2025-05-01,856
2025-06-01,977
2025-07-01,1137
2025-08-01,889
