,n_commits
2015-11-01,97
2015-12-01,430
2016-01-01,706
2016-02-01,872
2016-03-01,987
2016-04-01,654
2016-05-01,829
2016-06-01,1005
2016-07-01,785
2016-08-01,1058
2016-09-01,1183
2016-10-01,1435
2016-11-01,1343
2016-12-01,1177
2017-01-01,1007
2017-02-01,1250
2017-03-01,1237
2017-04-01,881
2017-05-01,1240
2017-06-01,1202
2017-07-01,967
2017-08-01,1169
2017-09-01,1171
2017-10-01,1274
2017-11-01,1378
2017-12-01,1231
2018-01-01,1462
2018-02-01,1429
2018-03-01,1606
2018-04-01,1790
2018-05-01,1428
2018-06-01,1864
2018-07-01,1607
2018-08-01,1857
2018-09-01,1566
2018-10-01,1943
2018-11-01,1832
2018-12-01,1688
2019-01-01,1909
2019-02-01,2144
2019-03-01,3477
2019-04-01,2340
2019-05-01,2418
2019-06-01,2448
2019-07-01,2632
2019-08-01,2690
2019-09-01,2240
2019-10-01,2630
2019-11-01,1967
2019-12-01,2136
2020-01-01,2255
2020-02-01,2507
2020-03-01,2253
2020-04-01,2381
2020-05-01,2039
2020-06-01,2620
2020-07-01,2713
2020-08-01,2324
2020-09-01,2066
2020-10-01,2209
2020-11-01,1695
2020-12-01,1618
2021-01-01,1810
2021-02-01,1837
2021-03-01,2275
2021-04-01,1780
2021-05-01,1725
2021-06-01,1841
2021-07-01,1725
2021-08-01,1728
2021-09-01,1566
2021-10-01,1873
2021-11-01,1514
2021-12-01,1394
2022-01-01,1234
2022-02-01,1350
2022-03-01,1437
2022-04-01,1314
2022-05-01,1492
2022-06-01,1438
2022-07-01,1255
2022-08-01,1691
2022-09-01,1652
2022-10-01,1747
2022-11-01,1620
2022-12-01,1452
2023-01-01,1587
2023-02-01,1451
2023-03-01,1869
2023-04-01,1409
2023-05-01,1391
2023-06-01,1529
2023-07-01,1426
2023-08-01,1634
2023-09-01,1117
2023-10-01,1277
2023-11-01,1109
2023-12-01,972
