,n_commits
2018-04-01,82
2018-05-01,13
2018-06-01,29
2018-07-01,0
2018-08-01,97
2018-09-01,190
2018-10-01,115
2018-11-01,67
2018-12-01,40
2019-01-01,42
2019-02-01,63
2019-03-01,36
2019-04-01,66
2019-05-01,84
2019-06-01,42
2019-07-01,25
2019-08-01,45
2019-09-01,55
2019-10-01,50
2019-11-01,72
2019-12-01,49
2020-01-01,58
2020-02-01,34
2020-03-01,90
2020-04-01,50
2020-05-01,52
2020-06-01,38
2020-07-01,67
2020-08-01,42
2020-09-01,54
2020-10-01,34
2020-11-01,27
2020-12-01,23
2021-01-01,34
2021-02-01,41
2021-03-01,70
2021-04-01,63
2021-05-01,65
2021-06-01,48
2021-07-01,16
2021-08-01,29
2021-09-01,50
2021-10-01,49
2021-11-01,105
2021-12-01,96
2022-01-01,98
2022-02-01,37
2022-03-01,56
2022-04-01,69
2022-05-01,41
2022-06-01,47
2022-07-01,64
2022-08-01,50
2022-09-01,68
2022-10-01,43
2022-11-01,36
2022-12-01,20
2023-01-01,44
2023-02-01,53
2023-03-01,186
2023-04-01,54
2023-05-01,50
2023-06-01,25
2023-07-01,27
2023-08-01,29
2023-09-01,25
2023-10-01,30
2023-11-01,20
2023-12-01,32
2024-01-01,35
2024-02-01,33
2024-03-01,24
2024-04-01,21
2024-05-01,21
2024-06-01,21
2024-07-01,38
2024-08-01,50
2024-09-01,27
2024-10-01,55
2024-11-01,56
2024-12-01,30
2025-01-01,20
2025-02-01,36
2025-03-01,60
2025-04-01,36
2025-05-01,18
2025-06-01,28
2025-07-01,13
2025-08-01,24
