,n_commits
2019-01-01,734
2019-02-01,68
2019-03-01,18
2019-04-01,39
2019-05-01,36
2019-06-01,39
2019-07-01,45
2019-08-01,42
2019-09-01,31
2019-10-01,32
2019-11-01,66
2019-12-01,50
2020-01-01,84
2020-02-01,38
2020-03-01,58
2020-04-01,53
2020-05-01,92
2020-06-01,38
2020-07-01,23
2020-08-01,52
2020-09-01,56
2020-10-01,37
2020-11-01,44
2020-12-01,16
2021-01-01,15
2021-02-01,48
2021-03-01,36
2021-04-01,14
2021-05-01,44
2021-06-01,30
2021-07-01,21
2021-08-01,22
2021-09-01,34
2021-10-01,68
2021-11-01,63
2021-12-01,50
2022-01-01,29
2022-02-01,27
2022-03-01,43
2022-04-01,28
2022-05-01,94
2022-06-01,36
2022-07-01,24
2022-08-01,40
2022-09-01,25
2022-10-01,59
2022-11-01,79
2022-12-01,39
2023-01-01,41
2023-02-01,68
2023-03-01,107
2023-04-01,50
2023-05-01,17
2023-06-01,31
2023-07-01,77
2023-08-01,34
2023-09-01,26
2023-10-01,40
2023-11-01,52
2023-12-01,35
2024-01-01,57
2024-02-01,73
2024-03-01,68
2024-04-01,75
2024-05-01,76
2024-06-01,111
2024-07-01,115
2024-08-01,97
2024-09-01,70
2024-10-01,54
2024-11-01,60
2024-12-01,41
2025-01-01,49
2025-02-01,56
2025-03-01,38
2025-04-01,36
2025-05-01,47
2025-06-01,33
2025-07-01,35
2025-08-01,28
