,n_commits
2001-03-01,16
2001-04-01,39
2001-05-01,19
2001-06-01,34
2001-07-01,37
2001-08-01,23
2001-09-01,46
2001-10-01,19
2001-11-01,8
2001-12-01,17
2002-01-01,32
2002-02-01,20
2002-03-01,16
2002-04-01,14
2002-05-01,39
2002-06-01,24
2002-07-01,23
2002-08-01,30
2002-09-01,45
2002-10-01,31
2002-11-01,25
2002-12-01,40
2003-01-01,59
2003-02-01,28
2003-03-01,26
2003-04-01,25
2003-05-01,38
2003-06-01,40
2003-07-01,43
2003-08-01,81
2003-09-01,18
2003-10-01,26
2003-11-01,72
2003-12-01,34
2004-01-01,114
2004-02-01,47
2004-03-01,40
2004-04-01,5
2004-05-01,25
2004-06-01,5
2004-07-01,14
2004-08-01,51
2004-09-01,33
2004-10-01,18
2004-11-01,49
2004-12-01,47
2005-01-01,76
2005-02-01,37
2005-03-01,36
2005-04-01,17
2005-05-01,61
2005-06-01,97
2005-07-01,10
2005-08-01,104
2005-09-01,71
2005-10-01,145
2005-11-01,144
2005-12-01,85
2006-01-01,127
2006-02-01,102
2006-03-01,21
2006-04-01,71
2006-05-01,140
2006-06-01,31
2006-07-01,41
2006-08-01,29
2006-09-01,14
2006-10-01,41
2006-11-01,103
2006-12-01,77
2007-01-01,84
2007-02-01,61
2007-03-01,97
2007-04-01,108
2007-05-01,128
2007-06-01,101
2007-07-01,53
2007-08-01,81
2007-09-01,27
2007-10-01,57
2007-11-01,72
2007-12-01,46
2008-01-01,50
2008-02-01,105
2008-03-01,100
2008-04-01,84
2008-05-01,55
2008-06-01,64
2008-07-01,35
2008-08-01,86
2008-09-01,101
2008-10-01,58
2008-11-01,48
2008-12-01,54
2009-01-01,57
2009-02-01,81
2009-03-01,100
2009-04-01,57
2009-05-01,56
2009-06-01,129
2009-07-01,149
2009-08-01,81
2009-09-01,123
2009-10-01,115
2009-11-01,209
2009-12-01,418
2010-01-01,208
2010-02-01,147
2010-03-01,151
2010-04-01,105
2010-05-01,106
2010-06-01,166
2010-07-01,145
2010-08-01,156
2010-09-01,96
2010-10-01,282
2010-11-01,257
2010-12-01,392
2011-01-01,440
2011-02-01,442
2011-03-01,432
2011-04-01,270
2011-05-01,324
2011-06-01,201
2011-07-01,153
2011-08-01,139
2011-09-01,314
2011-10-01,412
2011-11-01,422
2011-12-01,463
2012-01-01,417
2012-02-01,372
2012-03-01,487
2012-04-01,358
2012-05-01,436
2012-06-01,110
2012-07-01,125
2012-08-01,127
2012-09-01,92
2012-10-01,244
2012-11-01,342
2012-12-01,181
2013-01-01,406
2013-02-01,399
2013-03-01,379
2013-04-01,373
2013-05-01,419
2013-06-01,327
2013-07-01,567
2013-08-01,535
2013-09-01,431
2013-10-01,542
2013-11-01,374
2013-12-01,139
2014-01-01,219
2014-02-01,275
2014-03-01,256
2014-04-01,579
2014-05-01,504
2014-06-01,379
2014-07-01,439
2014-08-01,567
2014-09-01,485
2014-10-01,322
2014-11-01,267
2014-12-01,185
2015-01-01,320
2015-02-01,249
2015-03-01,246
2015-04-01,342
2015-05-01,313
2015-06-01,286
2015-07-01,283
2015-08-01,421
2015-09-01,352
2015-10-01,398
2015-11-01,304
2015-12-01,307
2016-01-01,454
2016-02-01,408
2016-03-01,209
2016-04-01,257
2016-05-01,261
2016-06-01,175
2016-07-01,200
2016-08-01,506
2016-09-01,283
2016-10-01,171
2016-11-01,230
2016-12-01,248
2017-01-01,316
2017-02-01,287
2017-03-01,419
2017-04-01,303
2017-05-01,612
2017-06-01,458
2017-07-01,588
2017-08-01,558
2017-09-01,222
2017-10-01,296
2017-11-01,382
2017-12-01,606
2018-01-01,458
2018-02-01,513
2018-03-01,566
2018-04-01,529
2018-05-01,675
2018-06-01,514
2018-07-01,611
2018-08-01,744
2018-09-01,557
2018-10-01,532
2018-11-01,707
2018-12-01,421
2019-01-01,666
2019-02-01,434
2019-03-01,513
2019-04-01,380
2019-05-01,177
2019-06-01,120
2019-07-01,339
2019-08-01,920
2019-09-01,747
2019-10-01,642
2019-11-01,548
2019-12-01,401
2020-01-01,668
2020-02-01,755
2020-03-01,926
2020-04-01,728
2020-05-01,297
2020-06-01,217
2020-07-01,460
2020-08-01,604
2020-09-01,990
2020-10-01,738
2020-11-01,388
2020-12-01,526
2021-01-01,628
2021-02-01,841
2021-03-01,939
2021-04-01,729
2021-05-01,462
2021-06-01,438
2021-07-01,726
2021-08-01,770
2021-09-01,984
2021-10-01,892
2021-11-01,722
2021-12-01,693
2022-01-01,866
2022-02-01,585
2022-03-01,640
2022-04-01,903
2022-05-01,995
2022-06-01,734
2022-07-01,468
2022-08-01,781
2022-09-01,932
2022-10-01,880
2022-11-01,1086
2022-12-01,717
2023-01-01,875
2023-02-01,690
2023-03-01,888
2023-04-01,770
2023-05-01,808
2023-06-01,960
2023-07-01,909
2023-08-01,1229
2023-09-01,1241
2023-10-01,980
2023-11-01,903
2023-12-01,779
2024-01-01,774
2024-02-01,901
2024-03-01,1039
2024-04-01,894
2024-05-01,910
2024-06-01,467
2024-07-01,421
2024-08-01,376
2024-09-01,431
2024-10-01,340
2024-11-01,105
2024-12-01,0
2025-01-01,853
2025-02-01,595
2025-03-01,718
2025-04-01,977
2025-05-01,932
2025-06-01,355
2025-07-01,440
2025-08-01,310
