,n_commits
2011-10-01,82
2011-11-01,75
2011-12-01,89
2012-01-01,119
2012-02-01,105
2012-03-01,20
2012-04-01,36
2012-05-01,18
2012-06-01,241
2012-07-01,251
2012-08-01,196
2012-09-01,121
2012-10-01,189
2012-11-01,81
2012-12-01,79
2013-01-01,39
2013-02-01,649
2013-03-01,502
2013-04-01,275
2013-05-01,300
2013-06-01,130
2013-07-01,179
2013-08-01,169
2013-09-01,158
2013-10-01,202
2013-11-01,896
2013-12-01,215
2014-01-01,301
2014-02-01,348
2014-03-01,402
2014-04-01,297
2014-05-01,142
2014-06-01,201
2014-07-01,196
2014-08-01,272
2014-09-01,182
2014-10-01,134
2014-11-01,57
2014-12-01,109
2015-01-01,121
2015-02-01,230
2015-03-01,214
2015-04-01,170
2015-05-01,122
2015-06-01,89
2015-07-01,112
2015-08-01,255
2015-09-01,276
2015-10-01,356
2015-11-01,619
2015-12-01,410
2016-01-01,314
2016-02-01,305
2016-03-01,190
2016-04-01,196
2016-05-01,141
2016-06-01,37
2016-07-01,101
2016-08-01,55
2016-09-01,74
2016-10-01,201
2016-11-01,281
2016-12-01,248
2017-01-01,197
2017-02-01,228
2017-03-01,63
2017-04-01,228
2017-05-01,553
2017-06-01,316
2017-07-01,174
2017-08-01,102
2017-09-01,66
2017-10-01,46
2017-11-01,11
2017-12-01,50
2018-01-01,120
2018-02-01,131
2018-03-01,200
2018-04-01,141
2018-05-01,91
2018-06-01,240
2018-07-01,107
2018-08-01,93
2018-09-01,89
2018-10-01,90
2018-11-01,57
2018-12-01,15
2019-01-01,63
2019-02-01,15
2019-03-01,13
2019-04-01,1
2019-05-01,2
2019-06-01,0
2019-07-01,34
2019-08-01,26
2019-09-01,1
2019-10-01,60
2019-11-01,30
2019-12-01,32
2020-01-01,12
2020-02-01,49
2020-03-01,39
2020-04-01,11
2020-05-01,7
2020-06-01,4
2020-07-01,3
2020-08-01,14
2020-09-01,7
2020-10-01,3
2020-11-01,4
2020-12-01,0
2021-01-01,7
2021-02-01,4
2021-03-01,0
2021-04-01,1
2021-05-01,2
2021-06-01,1
2021-07-01,0
2021-08-01,61
2021-09-01,18
2021-10-01,10
2021-11-01,38
2021-12-01,1
2022-01-01,4
2022-02-01,1
2022-03-01,1
2022-04-01,2
2022-05-01,0
2022-06-01,2
2022-07-01,27
2022-08-01,1
2022-09-01,0
2022-10-01,0
2022-11-01,2
2022-12-01,0
2023-01-01,1
2023-02-01,0
2023-03-01,0
2023-04-01,0
2023-05-01,0
2023-06-01,0
2023-07-01,0
2023-08-01,27
2023-09-01,1
2023-10-01,0
2023-11-01,0
2023-12-01,1
2024-01-01,0
2024-02-01,0
2024-03-01,1
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,0
2024-08-01,3
2024-09-01,29
